name,flower_lang,info,type
향나무,영원한 향기,"향나무는 상록침엽수로 우리나라에서 가장 오래 사는 나무 중의 하나이다. 예로부터 마음을 담아 기원을 하는 나무로 소중히 여겨왔으며 관상, 약용, 향료, 조각재 등으로 널리 이용되어 왔다. 목질도 단단하려니와 목재의 향과 색이 일품인 이유로 보인다. 울릉도 도동에 사는 향나무는 2,500년생으로 세계에서 가장 오래된 것으로 전해지고 있다.","측백나무과 향나무속에 속하며 전국에 자생 또는 식재되어 있다. 종류는 자생하거나 흔히 심겨져 있는 향나무, 줄기가 누운 형태로 자라는 눈향나무, 고산지대에서만 자라는 곱향나무, 가지가 수평으로 퍼지는 뚝향나무, 북아메리카원산인 연필향나무 그리고 가지가 나선모양으로 돌아가는 가이쓰가향나무가 있으며 주로 이용되는 것은 가이쓰가향나무와 연필향나무다."
나도풍란,인내,"남부지역의 바위나 나무에 붙어사는 난이다. 보통 풍란 하면 소엽풍란을 말한다. 나도풍란은 잎이 넓은 대엽풍란이다. 자연 상태에서는 6년 정도가 지나야 꽃을 피우는데, 그 향기가 진하여 취할 정도로 좋다. 꽃말은 바닷가의 바위에 붙어 모진 풍파를 이겨내며 자라기 때문에 붙여진 듯 하다.","난과의 상록다년초이다. 히말라야, 말레이시아, 스리랑카, 일본, 중국 등에서 자생한다. 우리나라에서는 제주와 전남, 남해안의 따뜻한 섬지방에서 자생하나 지금은 멸종위기에 놓여있다. 원예연구기관에서 조직배양묘를 생산하여 자생지 복원사업을 추진하여 성공단계에 와 있다."
군자란,고귀,君子蘭(군자란)은 이름 끝에 ‘란’이라고 되어있어서 난 종류일거라 생각하기도 하지만 난과는 전혀 관계없는 식물이다. 이름은 동양적지만 고향은 남아프리카이다. 잎을 주로 관상하는 관엽식물이지만 긴 꽃대 끝에 여러 송이가 함께 피는 꽃 모양이 매우 아름답다. 겨울철 꽃이 참 귀할 때인데 비록 실내이긴 하지만 꽃을 보여주니 참 고귀하다는 생각이 든다.,"수선화과에 속하는 상록성의 다년생 식물로써, 강변이나 숲 속의 물기가 충분히 있는 곳에 자생하며 세계적으로 4종이 분포한다. 우리나라에는 주로 미니아타종이 있다."
삼나무,"견고, 자신감",상록성 교목으로 원래 우리 땅에 나던 것은 아니다. 일본이 고향인데 우리나라에서는 남부지역에서 많이 재배된다. 어떠한 세찬 바람에도 넘어지지 않고 하늘을 찌를 듯이 우뚝 서 있는 그 모습이 견고해 보이고 자신감이 충만해 보인다.,"낙우송과 삼나무속이며 원산지는 중국, 일본으로 지구상에 딱 한 종이 분포하며, 몇 가지 품종이 개발되어 있다."
수선화,"자만심, 자존심, 자신만을 사랑하다",수선화의 유래를 보면 그리스신화에 나오는 미소년 나르시스(나르키소스)가 제 모습에 반하여 죽어 꽃이 되었다하니 그 정도의 자존심이면 꽃이 고개를 들만도 한데 꽃은 늘 땅을 바라보고 있다. 꽃 모양은 은 접시에 금잔이 놓여있는 듯 아름답고 향기도 강하다. 아름답고 똑똑한 것도 좋지만 너무 지나치면 결국 자기도취에 빠져 헤어날 수 없음을 가르쳐 주는 듯 하다.,"수선화과에 속하며 세계적으로 약 50종이 분포하는데 알뿌리류가 대부분이지만 숙근성인 것들도 있다. 적응범위가 넓어 해안가로부터 산 중턱에 이르기까지 널리 분포하지만 주로 초원지대에 자생한다. 유럽과 북아프리카가 주요 원산지이며, 우리나라에도 제주에서 자생한다. 수선화는 종에 따라 화형이 다른 것들이 많아 꽃의 모양을 기준으로 Trumpet, Large-cupped, Small-cupped, Double, Triandrus, Cyclamineus 등 총 12개의 형으로 구분한다. 수선화의 영명은 'Daffodil'이다."
파키라,행운,공기정화식물도 잘 알려져 있다. 손가락같이 갈라진 잎과 뿌리 윗부분의 줄기가 통통한 모양새가 특이한 이국적인 식물이다. 자생지인 멕시코에서는 교목성으로 자라지만 우리나라에서는 화분에 심어 잎을 관상하는 관엽식물로 자리잡고 있다.,물밤나무과에 속하며 원산지인 남미에서는 열매를 식용으로 쓰기도 한다.
스토크,"영원한 아름다움, 사랑의 굴레",생화로도 향이 좋으나 드라이플라워로 만들어도 향기가 나는 방향성식물이다. 꽃말처럼 이젠 아름다움은 눈에 보이는 것만으로는 부족한 듯 하다. 향기까지 생각한다면 오래 기억되는 아름다움이다.,"십자화과에 속하며 세계적으로 약 55종이 분포한다. 일년생, 다년생인 것들이 대부분이지만 덩굴성인 것도 있다. 주요 분포지는 서유럽(지중해연안), 남아프리카, 아시아 지역의 평원이다."
아나나스,"미래를 즐긴다, 만족","보통 관엽식물 중 꽃이 피는 것이 드문데, 이 식물은 꽃이 여름에 피는 관엽으로 꽃이나 잎 모양이 모두 좋아 인기를 끈다. 아나나스는 원주민의 말로 파인애플이라고 한다.","파인애플과에 속하며 남미가 고향인 열대식물로써 상록성이다. 자생지에는 5∼6종의 원종이 분포하는데 해발 1,000m 이상의 고지대에서 자란다."
아마릴리스,"수다쟁이, 눈부신 아름다움",본래의 아마릴리스는 Belladonna Lily를 말하며 오늘의 꽃은 여러 종을 교배하여 만들어낸 품종이다. 꽃이 크고 화려해서 아름다운 귀부인을 보는 듯한 느낌이 든다.,"수선화과에 속하며 세계적으로 약 70여종이 분포하는데 브라질, 페루 등 남미와 멕시코에 많이 자생한다."
우묵사스레피,기억 속에 새기다.,남해의 세찬 바닷바람에도 잘 견디는 늘 푸른 나무이다. 뒤로 약간 말려들어간 동그랗고 작은 잎도 귀엽지만 열매가 쥐똥같이 생겼다 하여 섬 지방에서는 섬쥐똥나무라고도 부른다.,"차나무과에 속하는 상록성 관목이다. 세계적으로 아시아 동남부 및 태평양 열도를 중심으로 약 70종이 자생한다. 우리나라에서는 주로 제주지역이나 남부해안가에 자생하며, 유사종으로 사스레피나무, 거제도에 나는 섬사스레피나무, 잎이 넓고 두꺼운 떡사스레피나무 등이 있다."
앵초,번영,"물결치는 듯이 곱슬거리는 잎이 인상적인 앵초는 전형적인 한국의 자생화다. 물론 우리와 자연환경이 비슷한 중국이나 일본지역에서도 자생한다. <br><br>
<br><br>
","앵초과의 다년생 초본이며 지구상에 500종이상 분포하는 전형적인 온대성식물이다. 우리나라에는 앵초, 키가 큰 큰앵초, 작은 설앵초, 좀앵초 등이 습기가 좀 있는 반그늘진 곳에 자생하고 있다."
브리세아,만족,브리세아 중 소형종이며 꽃가게에서 흔히 볼 수 있는 관엽식물이다. 새 꼬리의 깃털처럼 생긴 빨간 꽃이 예쁘고 오래 가지만 잎의 앞부분 양편으로 흰 띠가 들어 있는 것이 특징이다.,"세계적으로 약 5~6종 정도가 남아메리카 고원지대에 분포하고 있는 종으로, 다른 식물들에 비해 비교적 소가족이다."
치자나무,청결,"꽃의 모양과 색, 향기가 모두 일품이며, 특히 꽃향기가 진하다. 늦은 가을에 빨갛게 익는 열매는 대표적인 우리 전통 염료이다.",꼭두서니과 치자나무속 식물로 내한성이 약해 중부지역에서는 노지에서 자라지 못한다. 치자나무는 우리나라에서 자연 상태에서 자라기는 하지만 원래부터 우리나라에 있던 식물은 아니다. 무궁화와 마찬가지로 외국에서 들어와 이 땅에 적응한 귀화식물의 하나이며 원산지는 중국 · 대만 · 일본이다.
카틀레야,당신은 미인입니다.,국내에서는 기호도가 그리 높지 않지만 서양에서는 많이 이용되며 고급 란으로 취급되고 있다. 꽃말에서처럼 꽃 중의 여왕이라고 불릴 정도로 매우 화려하며 꽃이 크다. 품종에 따라 진한 향기가 있는 것들도 있다.,"고향이 열대아메리카 지역으로 세계적으로 약 40종의 원종이 분포한다. 다소 건조한 해안가를 중심으로 해발 2,000m정도의 고지대에 자생하지만 종종 산악지대 작은 계곡을 따라 분포하기도 한다. 모두 상록성으로 많은 품종들이 개량되어 있으며 지금은 전 세계적으로 재배되고 있다."
온시디움,순박한 마음,"온시디움은 꽃이 발랄한 소녀들을 연상시키기도 하고 나비를 보는 듯한 착각도 들어서 보는 이의 마음을 한결 밝고 즐겁게 해주는 착생란의 일종이다. 개체의 크기와 꽃의 색이나 모양이 상당히 다양하며, 특히 초코렛색 계통은 진한 향기가 난다.",난초과에 속하며 아메리카 대륙 전체에 분포하지만 중남미의 해발 1500-1700m 고지대에서 집중적으로 자생한다. 세계적으로 약 750종이 분포하는데 수천종의 교배종도 있다. 나무에 착생하여 뿌리로 공기호흡을 한다.
크로커스 ,"믿는 기쁨, 청춘의 기쁨",겨울이 지나 나무의 새잎이 나오기도 전에 피어나는 꽃 중의 하나로 키는 아주 작다. 꽃대의 모양이 실처럼 생겼다 해서 그리이스어인 Krokos(실)에서 나온 이름이다. 정원에 심어두면 이른 봄에 살며시 꽃대를 내밀며 바로 탐스러운 꽃들이 핀다. 가을에 심어 봄에 꽃을 보는 대표적인 가을에 심는알뿌리류이다.,"크로커스는 붓꽃과에 속하는 알뿌리식물이다. 거의 모든 색깔의 꽃이 있으며, 꽃 모양이 매우 우수하다. 전 세계적으로 약 80종이 분포한다. 유럽 중남부, 북아프리카, 중동, 아시아 중부 및 중국 서부 등이 자생지이다. 숲이나 덤불 초원 등 해안가로부터 고산에 이르기까지 널리 서식한다."
벤자민고무나무,변덕쟁이,벤자민고무나무는 집들이나 사무실 개업에 빠지지 않고 들어가는 선물이다. 그만큼 우리나라에서 많이 쓰는 관엽류 중의 하나로 실내관상용으로 인기가 좋다. 잎이 풍성하고 늘어지는 모양의 가지가 이채롭다.,"뽕나무과에 속하는 상록성 관목으로 인도, 동남아시아 등 열대나 아열대의 습기가 많은 곳이 고향이다. 전 세계적으로 800종이 분포하며 품종도 많이 개발되어 있다."
팔손이,"분별, 비밀",손이 여덟 개가 아니고 넓은 잎이 여덟 갈래로 갈라져 있는 것처럼 보여서 팔손이나무라 불린다. 언뜻 보면 외국의 관엽식물로 착각하기 쉬우나 우리 자생식물 중의 하나로 거제도나 남해 등 남부 해안가 주변이 고향이다. 잎 모양이 넓어 시원한 느낌을 주며 상록성이기 때문에 연중 관상이 가능하다. 음이온 발생도 많아 실내식물로 우수하다.,두릅나무과에 속하는 상록성관목이다. 세계적으로 아시아 동부지역에 단 2-3종이 분포하는 희귀종이지만 아열대의 온화한 기후조건에서 생육이 왕성하기 때문에 널리 자생한다. 우리나라의 남부지역이나 제주도에 자생한다.
